SEP,Funnetdato,Nord (UTM33/SWEREF99 TM),Øst (UTM33/SWEREF99 TM),Individ,Kon
SEP0153882,2019-09-15,7096498,644426,1,Hona
SEP0153837,2019-09-10,7143877,608728,3,Hona
SEP0161693,2019-09-14,7187445,691296,4,Hane
SEP0162359,2019-09-12,7182721,690045,4,Hane
SEP0163808,2019-09-14,7181098,694072,4,Hane
SEP0161634,2019-09-08,7067580,703435,8,Hona
SEP0161822,2019-09-14,7208767,538196,9,Hona
SEP0153432,2019-09-15,7111230,685037,10,Hane
SEP0164386,2019-09-03,7133399,642092,12,Hane
SEP0153854,2019-09-27,7135455,622319,12,Hane
SEP0160112,2019-10-10,7117128,643435,12,Hane
SEP0163312,2019-08-30,7134380,692470,14,Hona
SEP0153062,2019-09-09,7135706,692481,14,Hona
SEP0155663,2019-08-27,7218236,592425,16,Hona
SEP0158050,2019-09-07,7216039,587837,16,Hona
SEP0154788,2019-09-07,7216573,593982,16,Hona
SEP0154166,2019-08-21,7176078,534013,18,Hona
SEP0156066,2019-09-01,7219119,610643,19,Hona
SEP0153349,2019-10-05,7224157,624321,19,Hona
SEP0162099,2019-09-05,7236069,549945,20,Hona
SEP0162097,2019-09-07,7238023,554209,20,Hona
SEP0157802,2019-09-15,7157993,752789,25,Hane
SEP0158898,2019-09-20,7157856,753498,25,Hane
SEP0158886,2019-09-20,7158150,753089,25,Hane
SEP0156007,2019-09-20,7200165,620970,27,Hane
SEP0161452,2019-08-23,7251730,551824,29,Hane
SEP0157543,2019-08-21,7124108,661329,30,Hane
SEP0159746,2019-09-10,7217827,552977,32,Hona
SEP0164006,2019-09-24,7170459,625973,35,Hane
SEP0162446,2019-09-24,7186099,663124,36,Hona
SEP0153744,2019-09-29,7185640,662824,36,Hona
SEP0153600,2019-10-14,7188258,667567,36,Hona
SEP0152580,2019-09-22,7141469,630401,39,Hona
SEP0152594,2019-09-22,7101309,616459,39,Hona
SEP0155327,2019-09-29,7102762,618640,39,Hona
SEP0155333,2019-10-07,7102948,618068,39,Hona
SEP0159313,2019-09-12,7170062,560979,42,Hane
SEP0162299,2019-09-15,7169755,561139,42,Hane
SEP0156337,2019-09-18,7169583,561571,42,Hane
SEP0161164,2019-09-14,7116354,597949,43,Hane
SEP0154790,2019-09-06,7200046,622012,47,Hane
